mmsi,speed,course,nav_status,rot,pos_accuracy,raim,heading,timestamp,timestamp_external,latitude,longitude
255806228,0.0,353.6,5,0,False,False,41,17,1649234237276,59.461538,24.712028
265695080,0.0,0.0,5,-128,False,False,511,54,1580725135470,63.680713,20.334737
419000044,6.6,237.5,0,0,False,False,237,16,1722451877574,59.4016,22.236458
276797000,0.0,161.0,5,0,True,False,275,56,1726615437142,59.558067,24.795063
244339000,0.0,246.3,5,0,False,True,54,35,1625051736008,59.461037,24.651948
230183810,0.0,326.8,11,-2,True,False,511,21,1739186482367,61.593642,21.46437
265763390,12.2,315.0,5,127,True,False,315,16,1695371776368,64.948282,21.321777
230168020,10.8,1.9,0,0,False,False,3,31,1722349951433,59.956618,24.389122
538006482,13.4,84.3,0,47,True,True,340,21,1702690567779,59.762763,24.799272
230040000,13.5,140.8,0,-5,True,False,140,22,1739194223495,63.193748,21.014358
245482000,0.0,360.0,5,0,True,True,343,3,1623318664171,59.450167,24.670232
230938640,0.0,12.9,0,-128,False,True,511,59,1729598998569,60.14523,24.983712
230151360,0.0,349.3,0,0,False,False,30,37,1728049358597,60.402803,26.260778
230175250,0.0,360.0,8,0,True,True,193,43,1684775083718,60.442272,22.15242
230044267,0.0,0.0,0,-128,False,False,511,2,1595415183997,60.183415,24.9737
230116540,7.7,196.8,0,-127,True,False,201,49,1662023990334,59.777463,22.945265
230067160,0.0,360.0,0,127,True,True,356,50,1728629571251,60.466953,26.93353
249387000,0.0,357.0,5,0,False,False,357,47,1739194188795,63.7179,22.6905
244000329,0.0,92.4,15,-7,False,False,511,37,1651665459145,60.40249,26.258577
230118650,0.0,13.9,0,12,True,False,329,24,1728741263621,63.827897,23.03609
311011178,0.0,360.0,0,-128,True,True,511,45,1686650386282,60.45417,22.119382
230980970,0.0,226.3,5,-8,True,False,114,13,1737452473905,60.436887,22.217778
209924000,0.0,331.4,5,0,False,True,146,55,1561605835764,60.416595,26.253413
230119390,2.2,47.4,0,-128,True,True,511,35,1667474975414,59.775662,22.945843
256312000,0.0,351.2,5,0,False,False,212,49,1607944909202,59.458642,24.659675
245483000,0.0,240.1,5,0,True,False,42,3,1601548025955,59.458792,24.7074
230125940,0.0,78.7,0,0,False,False,155,24,1739194224929,60.205733,25.624
230993680,0.0,198.1,0,0,True,False,106,30,1739194230463,60.4435,22.153813
230937650,0.0,29.6,5,0,False,False,298,1,1739194081652,61.123248,21.452305
244750716,0.1,339.0,1,0,True,False,326,23,1739182702389,64.6655,21.533667
230168600,0.0,13.6,5,0,False,False,356,22,1658224704245,60.441133,22.219075
983542151,0.0,360.0,0,-128,False,False,511,49,1689334309795,59.4514,24.765847
230109470,0.0,321.5,0,0,True,False,151,30,1739194229678,59.808832,22.910558
230940680,8.4,12.5,0,0,False,False,11,14,1733817853332,60.3322,25.574952
261217000,13.0,202.9,0,0,True,False,204,57,1630566478272,59.43583,19.993498
21000000,0.0,333.7,5,-128,False,True,511,58,1739179258049,59.428825,24.815488
230111070,0.0,299.4,5,-128,False,True,511,1,1730020681142,60.189882,21.96864
266431000,0.0,74.9,15,0,True,False,121,37,1640869898980,59.497972,24.940357
256225824,0.0,27.2,0,0,False,False,287,25,1565776165015,60.44362,22.153613
230117940,0.0,17.2,0,0,False,False,152,33,1666959094174,59.840653,23.328343
212385000,0.0,34.4,5,0,False,False,322,50,1739194070305,60.014885,23.927763
304080887,0.0,13.5,5,0,False,False,100,21,1614759562912,61.126593,21.447465
